靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
M2300  	筿摸计   	19970723	   303.5900
M2300  	筿摸计   	19970724	   323.5000
M2300  	筿摸计   	19970725	   341.2000
M2300  	筿摸计   	19970726	   347.7200
M2300  	筿摸计   	19970728	   350.3000
M2300  	筿摸计   	19970729	   340.7200
M2300  	筿摸计   	19970730	   343.2800
M2300  	筿摸计   	19970731	   352.3200
M2300  	筿摸计   	19970801	   353.1300
M2300  	筿摸计   	19970802	   364.6900
M2300  	筿摸计   	19970804	   370.5200
M2300  	筿摸计   	19970805	   360.6200
M2300  	筿摸计   	19970806	   354.1800
M2300  	筿摸计   	19970807	   348.7400
M2300  	筿摸计   	19970808	   359.9300
M2300  	筿摸计   	19970809	   357.4600
M2300  	筿摸计   	19970811	   338.8200
M2300  	筿摸计   	19970812	   336.4500
M2300  	筿摸计   	19970813	   324.6800
M2300  	筿摸计   	19970814	   330.8100
M2300  	筿摸计   	19970815	   338.9200
M2300  	筿摸计   	19970816	   335.8300
M2300  	筿摸计   	19970819	   336.8300
M2300  	筿摸计   	19970820	   350.8100
M2300  	筿摸计   	19970821	   365.1500
M2300  	筿摸计   	19970822	   368.4900
M2300  	筿摸计   	19970823	   371.1100
M2300  	筿摸计   	19970825	   370.8100
M2300  	筿摸计   	19970826	   368.0700
M2300  	筿摸计   	19970827	   359.3700
M2300  	筿摸计   	19970828	   348.4800
M2300  	筿摸计   	19970830	   346.8800
M2300  	筿摸计   	19970901	   330.3200
M2300  	筿摸计   	19970902	   315.5600
M2300  	筿摸计   	19970903	   333.7700
M2300  	筿摸计   	19970904	   317.8200
M2300  	筿摸计   	19970905	   324.8900
M2300  	筿摸计   	19970906	   324.2800
M2300  	筿摸计   	19970908	   307.2400
M2300  	筿摸计   	19970909	   302.1200
M2300  	筿摸计   	19970910	   306.8300
M2300  	筿摸计   	19970911	   302.8000
M2300  	筿摸计   	19970912	   303.6600
M2300  	筿摸计   	19970913	   292.0400
M2300  	筿摸计   	19970915	   284.1000
M2300  	筿摸计   	19970917	   297.9800
M2300  	筿摸计   	19970918	   303.9900
M2300  	筿摸计   	19970919	   306.8500
M2300  	筿摸计   	19970920	   305.0500
M2300  	筿摸计   	19970922	   300.3600
M2300  	筿摸计   	19970923	   290.9300
M2300  	筿摸计   	19970924	   287.8400
M2300  	筿摸计   	19970925	   273.1700
M2300  	筿摸计   	19970926	   269.4900
M2300  	筿摸计   	19970927	   281.3200
M2300  	筿摸计   	19970930	   273.3800
M2300  	筿摸计   	19971001	   279.3400
M2300  	筿摸计   	19971002	   278.6800
M2300  	筿摸计   	19971003	   287.3500
M2300  	筿摸计   	19971004	   284.6600
M2300  	筿摸计   	19971006	   280.6900
M2300  	筿摸计   	19971007	   272.1700
M2300  	筿摸计   	19971008	   275.9600
M2300  	筿摸计   	19971009	   286.6300
M2300  	筿摸计   	19971013	   291.4700
M2300  	筿摸计   	19971014	   291.3800
M2300  	筿摸计   	19971015	   285.3600
M2300  	筿摸计   	19971016	   268.7500
M2300  	筿摸计   	19971017	   253.3400
M2300  	筿摸计   	19971018	   237.4200
M2300  	筿摸计   	19971020	   221.4100
M2300  	筿摸计   	19971021	   234.5500
M2300  	筿摸计   	19971022	   225.0800
M2300  	筿摸计   	19971023	   228.4300
M2300  	筿摸计   	19971024	   224.1600
M2300  	筿摸计   	19971027	   220.9700
M2300  	筿摸计   	19971028	   206.0100
M2300  	筿摸计   	19971029	   192.7200
M2300  	筿摸计   	19971030	   193.4500
M2300  	筿摸计   	19971103	   205.8700
M2300  	筿摸计   	19971104	   216.0000
M2300  	筿摸计   	19971105	   225.2200
M2300  	筿摸计   	19971106	   239.6700
M2300  	筿摸计   	19971107	   234.3500
M2300  	筿摸计   	19971108	   219.5800
M2300  	筿摸计   	19971110	   230.4800
M2300  	筿摸计   	19971111	   228.7400
M2300  	筿摸计   	19971113	   222.1400
M2300  	筿摸计   	19971114	   217.6900
M2300  	筿摸计   	19971115	   219.7300
M2300  	筿摸计   	19971117	   229.6500
M2300  	筿摸计   	19971118	   225.5300
M2300  	筿摸计   	19971119	   231.1300
M2300  	筿摸计   	19971120	   227.9600
M2300  	筿摸计   	19971121	   234.2500
M2300  	筿摸计   	19971122	   233.5100
M2300  	筿摸计   	19971124	   226.9100
M2300  	筿摸计   	19971125	   227.2100
M2300  	筿摸计   	19971126	   223.1400
M2300  	筿摸计   	19971127	   224.0600
M2300  	筿摸计   	19971128	   226.5900
M2300  	筿摸计   	19971201	   213.6300
M2300  	筿摸计   	19971202	   223.2100
M2300  	筿摸计   	19971203	   226.0200
M2300  	筿摸计   	19971204	   235.1700
M2300  	筿摸计   	19971205	   236.2900
M2300  	筿摸计   	19971206	   244.5800
M2300  	筿摸计   	19971208	   255.9000
M2300  	筿摸计   	19971209	   253.3300
M2300  	筿摸计   	19971210	   255.6300
M2300  	筿摸计   	19971211	   242.9700
M2300  	筿摸计   	19971212	   247.5300
M2300  	筿摸计   	19971213	   242.3800
M2300  	筿摸计   	19971215	   237.7300
M2300  	筿摸计   	19971216	   234.2200
M2300  	筿摸计   	19971217	   236.9900
M2300  	筿摸计   	19971218	   231.2700
M2300  	筿摸计   	19971219	   219.2800
M2300  	筿摸计   	19971220	   224.6900
M2300  	筿摸计   	19971222	   219.6500
M2300  	筿摸计   	19971223	   219.7700
M2300  	筿摸计   	19971224	   226.8200
M2300  	筿摸计   	19971226	   224.6000
M2300  	筿摸计   	19971227	   223.8700
M2300  	筿摸计   	19971229	   223.3400
M2300  	筿摸计   	19971230	   225.9200
M2300  	筿摸计   	19971231	   228.4300
M2300  	筿摸计   	19980103	   228.7500
M2300  	筿摸计   	19980105	   223.5100
M2300  	筿摸计   	19980106	   224.7700
M2300  	筿摸计   	19980107	   221.7900
M2300  	筿摸计   	19980108	   222.2300
M2300  	筿摸计   	19980109	   220.3200
M2300  	筿摸计   	19980112	   207.4100
M2300  	筿摸计   	19980113	   209.5100
M2300  	筿摸计   	19980114	   222.5200
M2300  	筿摸计   	19980115	   225.7800
M2300  	筿摸计   	19980116	   227.3900
M2300  	筿摸计   	19980117	   232.1700
M2300  	筿摸计   	19980119	   230.7300
M2300  	筿摸计   	19980120	   238.3300
M2300  	筿摸计   	19980121	   245.6000
M2300  	筿摸计   	19980122	   245.4800
M2300  	筿摸计   	19980202	   261.0400
M2300  	筿摸计   	19980203	   275.7500
M2300  	筿摸计   	19980204	   282.2000
M2300  	筿摸计   	19980205	   293.5500
M2300  	筿摸计   	19980206	   286.4400
M2300  	筿摸计   	19980207	   294.2700
M2300  	筿摸计   	19980209	   285.6700
M2300  	筿摸计   	19980210	   288.2300
M2300  	筿摸计   	19980211	   299.8400
M2300  	筿摸计   	19980212	   301.6800
M2300  	筿摸计   	19980213	   293.3900
M2300  	筿摸计   	19980216	   294.9600
M2300  	筿摸计   	19980217	   305.0500
M2300  	筿摸计   	19980218	   308.8000
M2300  	筿摸计   	19980219	   317.6400
M2300  	筿摸计   	19980220	   321.6100
M2300  	筿摸计   	19980221	   321.2500
M2300  	筿摸计   	19980223	   316.2600
M2300  	筿摸计   	19980224	   317.6700
M2300  	筿摸计   	19980225	   315.2000
M2300  	筿摸计   	19980226	   327.3900
M2300  	筿摸计   	19980227	   325.4300
M2300  	筿摸计   	19980302	   322.3600
M2300  	筿摸计   	19980303	   320.1500
M2300  	筿摸计   	19980304	   303.8000
M2300  	筿摸计   	19980305	   291.2900
M2300  	筿摸计   	19980306	   296.4200
M2300  	筿摸计   	19980307	   289.7500
M2300  	筿摸计   	19980309	   282.8200
M2300  	筿摸计   	19980310	   290.1900
M2300  	筿摸计   	19980311	   299.4500
M2300  	筿摸计   	19980312	   296.2400
M2300  	筿摸计   	19980313	   298.1000
M2300  	筿摸计   	19980316	   305.3700
M2300  	筿摸计   	19980317	   305.2100
M2300  	筿摸计   	19980318	   299.5500
M2300  	筿摸计   	19980319	   299.4000
M2300  	筿摸计   	19980320	   302.9200
M2300  	筿摸计   	19980321	   296.2000
M2300  	筿摸计   	19980323	   289.7000
M2300  	筿摸计   	19980324	   295.4600
M2300  	筿摸计   	19980325	   310.1300
M2300  	筿摸计   	19980326	   305.1500
M2300  	筿摸计   	19980327	   310.3500
M2300  	筿摸计   	19980330	   309.1100
M2300  	筿摸计   	19980331	   307.9900
M2300  	筿摸计   	19980401	   306.6800
M2300  	筿摸计   	19980402	   304.2000
M2300  	筿摸计   	19980403	   309.4600
M2300  	筿摸计   	19980404	   310.6500
M2300  	筿摸计   	19980407	   309.5600
M2300  	筿摸计   	19980408	   309.8500
M2300  	筿摸计   	19980409	   302.3800
M2300  	筿摸计   	19980410	   298.8100
M2300  	筿摸计   	19980413	   285.4400
M2300  	筿摸计   	19980414	   282.9600
M2300  	筿摸计   	19980415	   288.1800
M2300  	筿摸计   	19980416	   284.6700
M2300  	筿摸计   	19980417	   274.2800
M2300  	筿摸计   	19980418	   286.5700
M2300  	筿摸计   	19980420	   271.9400
M2300  	筿摸计   	19980421	   274.6100
M2300  	筿摸计   	19980422	   284.3800
M2300  	筿摸计   	19980423	   284.9300
M2300  	筿摸计   	19980424	   284.8800
M2300  	筿摸计   	19980427	   276.0900
M2300  	筿摸计   	19980428	   276.9200
M2300  	筿摸计   	19980429	   271.1400
M2300  	筿摸计   	19980430	   268.8200
M2300  	筿摸计   	19980502	   271.1900
M2300  	筿摸计   	19980504	   275.6400
M2300  	筿摸计   	19980505	   270.5700
M2300  	筿摸计   	19980506	   273.9000
M2300  	筿摸计   	19980507	   271.0000
M2300  	筿摸计   	19980508	   269.8900
M2300  	筿摸计   	19980511	   278.8300
M2300  	筿摸计   	19980512	   275.5200
M2300  	筿摸计   	19980513	   277.0300
M2300  	筿摸计   	19980514	   276.8100
M2300  	筿摸计   	19980515	   278.5200
M2300  	筿摸计   	19980516	   276.2000
M2300  	筿摸计   	19980518	   274.4200
M2300  	筿摸计   	19980519	   274.4300
M2300  	筿摸计   	19980520	   280.5900
M2300  	筿摸计   	19980521	   281.0700
M2300  	筿摸计   	19980522	   282.9300
M2300  	筿摸计   	19980525	   278.9600
M2300  	筿摸计   	19980526	   269.1300
M2300  	筿摸计   	19980527	   262.1800
M2300  	筿摸计   	19980528	   262.2700
M2300  	筿摸计   	19980529	   249.7000
M2300  	筿摸计   	19980601	   236.2300
M2300  	筿摸计   	19980602	   233.6600
M2300  	筿摸计   	19980603	   233.7800
M2300  	筿摸计   	19980604	   219.7000
M2300  	筿摸计   	19980605	   223.2100
M2300  	筿摸计   	19980606	   230.2000
M2300  	筿摸计   	19980608	   229.3000
M2300  	筿摸计   	19980609	   225.2500
M2300  	筿摸计   	19980610	   216.6900
M2300  	筿摸计   	19980611	   216.0500
M2300  	筿摸计   	19980612	   211.8300
M2300  	筿摸计   	19980615	   219.2000
M2300  	筿摸计   	19980616	   226.9000
M2300  	筿摸计   	19980617	   229.4700
M2300  	筿摸计   	19980618	   243.1100
M2300  	筿摸计   	19980619	   247.2200
M2300  	筿摸计   	19980620	   247.6600
M2300  	筿摸计   	19980622	   238.4700
M2300  	筿摸计   	19980623	   235.3700
M2300  	筿摸计   	19980624	   234.5900
M2300  	筿摸计   	19980625	   236.5700
M2300  	筿摸计   	19980626	   230.5100
M2300  	筿摸计   	19980629	   219.6200
M2300  	筿摸计   	19980630	   222.0900
M2300  	筿摸计   	19980702	   233.3000
M2300  	筿摸计   	19980703	   229.0500
M2300  	筿摸计   	19980704	   231.8000
M2300  	筿摸计   	19980706	   235.3900
M2300  	筿摸计   	19980707	   233.6400
M2300  	筿摸计   	19980708	   240.4400
M2300  	筿摸计   	19980709	   243.4500
M2300  	筿摸计   	19980710	   241.8200
M2300  	筿摸计   	19980713	   237.9300
M2300  	筿摸计   	19980714	   238.7100
M2300  	筿摸计   	19980715	   244.6700
M2300  	筿摸计   	19980716	   251.3100
M2300  	筿摸计   	19980717	   255.6000
M2300  	筿摸计   	19980718	   257.8300
M2300  	筿摸计   	19980720	   258.4400
M2300  	筿摸计   	19980721	   253.8400
M2300  	筿摸计   	19980722	   253.1200
M2300  	筿摸计   	19980723	   252.7500
M2300  	筿摸计   	19980724	   259.6400
M2300  	筿摸计   	19980727	   261.2200
M2300  	筿摸计   	19980728	   259.2600
M2300  	筿摸计   	19980729	   258.9100
M2300  	筿摸计   	19980730	   259.2000
M2300  	筿摸计   	19980731	   256.6000
M2300  	筿摸计   	19980801	   255.5400
M2300  	筿摸计   	19980803	   254.1700
M2300  	筿摸计   	19980804	   257.9500
